Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
2.2,Ensure Authorized Software is Currently Supported,TDA-17,"esx-9.supported, vcenter-9.supported"
2.5,Allowlist Authorized Software,CFG-03.2,esx-9.vib-trusted-binaries
2.7,Allowlist Authorized Scripts,IAC-16,"esx-9.ad-admin-group-autoadd, vcenter-9.bashshelladministrators"
3.1,Establish and Maintain a Data Management Process,"CRY-01, CRY-03","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
3.3,Configure Data Access Control Lists,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
3.6,Encrypt Data on End-User Devices,"CRY-01, CRY-05","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.memory-tiering-encryption, esx-9.tpm-configuration, nsx-9.load-balancer-fips, vcenter-9.snmp3, vsan-9.encryption-rest"
3.9,Encrypt Data on Removable Media,"CRY-01, CRY-05","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.memory-tiering-encryption, esx-9.tpm-configuration, nsx-9.load-balancer-fips, vcenter-9.snmp3, vsan-9.encryption-rest"
3.11,Encrypt Sensitive Data at Rest,"CRY-01, CRY-05","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.memory-tiering-encryption, esx-9.tpm-configuration, nsx-9.load-balancer-fips, vcenter-9.snmp3, vsan-9.encryption-rest"
3.14,Log Sensitive Data Access,"MON-02, MON-03","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-forwarding, esx-9.log-level, guest-9.tools-log-forwarding, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding, vcenter-9.logs-level-global, vm-9.log-enable"
4.0,"Secure Configuration of Enterprise Assets and Software: Establish and maintain the secure configuration of enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/IoT devices; and servers) and software (operating systems and applications).",CFG-03,"automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
