Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
9.3(a),Ensure the security of the means of transfer of data.,CFG-02,vcf-9.secure-baseline
9.3(b),"Minimize the risk of corruption or loss of data, unauthorized access and technical flaws.",CFG-02,vcf-9.secure-baseline
9.3(c),"Prevent the lack of availability, the impairment of the authenticity and integrity, the breaches of confidentiality and the loss of data.",CFG-02,vcf-9.secure-baseline
9.3(d),"Ensure that data is protected from risks arising from data management (e.g., poor administration, processing risks, human error).",CFG-02,vcf-9.secure-baseline
9.4(c),Implement policies that limit the physical or logical access to information assets and ICT assets to what is required for legitimate and approved functions and activities only.,IAC-21,"esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
9.4(e),"Implement documented policies, procedures and controls for ICT change management that are based on a risk assessment approach.",CHG-02,vsan-9.auto-policy-management
9.4(f),Have appropriate and comprehensive documented policies for patches and updates.,VPM-05,"esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
12.1,"For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document:",BCD-11,nsx-9.backup
12.1(a),"Backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data.",BCD-11,nsx-9.backup
12.1(b),Restoration and recovery procedures and methods.,BCD-11,nsx-9.backup
12.2,"Financial entities shall set up backup systems that can be activated in accordance with the backup policies and procedures, as well as restoration and recovery procedures and methods. The activation of backup systems shall not jeopardise the security of the network and information systems or the availability, authenticity, integrity or confidentiality of data. Testing of the backup procedures and restoration and recovery procedures and methods shall be undertaken periodically.",BCD-11,nsx-9.backup
12.4,"Financial entities, other than microenterprises, shall maintain redundant ICT capacities equipped with resources, capabilities and functions that are adequate to ensure business needs. Microenterprises shall assess the need to maintain such redundant ICT capacities based on their risk profile.","BCD-11.7, BCD-12.2","nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.service-resilience-ha"
29.1,"When assessing risks, financial entities shall also take into account whether the arrangement would lead to:",TPM-04,vcenter-9.administration-client-plugins
30.3(f),"Exit strategies, in particular the establishment of a mandatory adequate transition period:",TPM-03,vcenter-9.administration-client-plugins
