Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
03.01.01.c.01,Authorized users of the system.,IAC-15.5,vcenter-9.bashshelladministrators
03.01.01.c.03,"Access authorizations (i.e., privileges) for each account.","IAC-20, IAC-20.1, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcenter-9.content-library-authentication, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
03.01.01.d.01,A valid access authorization.,"IAC-20, IAC-20.1, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcenter-9.content-library-authentication, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
03.01.01.d.02,Intended system usage.,"IAC-20, IAC-20.1, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcenter-9.content-library-authentication, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
03.01.01.e,Monitor the use of system accounts.,IAC-15.7,"esx-9.disable-accounts-dcui, nsx-9.disable-accounts, vcenter-9.disable-accounts"
03.01.01.f.02,The accounts have been inactive for [Assignment: organization-defined time period].,IAC-15.3,fleet-9.jit-inactivity
03.01.01.g.01,[Assignment: organization-defined time period] when accounts are no longer required.,IAC-07,operations-9.non-imported-vidm
03.01.01.g.02,[Assignment: organization-defined time period] when users are terminated or transferred.,IAC-07,operations-9.non-imported-vidm
03.01.01.g.03,[Assignment: organization-defined time period] when system usage or the need-to-know changes for an individual.,"IAC-07, IAC-17","esx-9.ad-admin-validate-interval, operations-9.non-imported-vidm, vcf-9.permissions-roles"
03.01.01.h,Require that users log out of the system after [Assignment: organization-defined time period] of expected inactivity or when [Assignment: organization-defined circumstances].,"CFG-02, IAC-25","esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout, vcf-9.secure-baseline"
03.01.02,Access Enforcement: Enforce approved authorizations for logical access to CUI and system resources in accordance with applicable access control policies.,"CFG-08, IAC-20, IAC-20.1","esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.credential-ownership-enforcement, operations-9.non-imported-vidm, vcenter-9.content-library-authentication"
03.01.03,Information Flow Enforcement: Enforce approved authorizations for controlling the flow of CUI within the system and between connected systems.,"IAC-20, IAC-20.1, NET-04","esx-9.lockdown-mode, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcenter-9.content-library-authentication, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
03.01.04.b,Define system access authorizations to support separation of duties.,"IAC-20, IAC-20.1, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcenter-9.content-library-authentication, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
