Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
1.1,1.1 Processes and mechanisms for installing and maintaining network security controls are defined and understood.,"CFG-02, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcf-9.secure-baseline, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
1.2.1,"1.2.1 Configuration standards for NSC rulesets are:
 • Defined.
 • Implemented.
 • Maintained.","CFG-02, NET-06","esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vcf-9.secure-baseline, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.2,"1.2.2 All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.
 Applicability Notes
 Changes to network connections include the addition, removal, or modification of a connection. 
 Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function.",CHG-02,vsan-9.auto-policy-management
1.2.3,"1.2.3 An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.
 Applicability Notes
 A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement.",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.4,"1.2.4 An accurate data-flow diagram(s) is maintained that meets the following: 
 • Shows all account data flows across systems and networks.
 • Updated as needed upon changes to the environment.
 Applicability Notes
 A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.5,"1.2.5 All services, protocols and ports allowed are identified, approved, and have a defined business need.","CFG-03, NET-06","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.nfs-traffic-protection, esx-9.snmp, esx-9.ssh, esx-9.vmk-storage, esx-9.vmk-vmotion, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.6,"1.2.6 Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.","CFG-02, CFG-03, NET-06","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.nfs-traffic-protection, esx-9.snmp, esx-9.ssh, esx-9.vmk-storage, esx-9.vmk-vmotion, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.7,1.2.7 Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,"CFG-03.1, NET-06","esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, nsx-9.inactive-interfaces, nsx-9.routing-protocols-unused, nsx-9.t1-inactive-interfaces, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2.8,"1.2.8 Configuration files for NSCs are: 
 • Secured from unauthorized access. 
 • Kept consistent with active network configurations. 
 Applicability Notes
 Any file or setting used to configure or synchronize NSCs is considered to be a “configuration file.” This includes files, automated and system-based controls, scripts, settings, infrastructure as code, or other parameters that are backed up, archived, or stored remotely.","CHG-04, NET-06","esx-9.hardware-management-config-lock, esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vsan-9.managed-disk-claim, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.3,1.3 Network access to and from the cardholder data environment is restricted.,"IAC-21, NET-04, NET-04.1, NET-06","esx-9.ad-admin-group-autoadd, esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, operations-9.firewall-hardening, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vcf-9.permissions-roles, vm-9.dvfilter, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough, vsan-9.file-services-access-control-nfs, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
