Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
AST-18,"Mechanisms exist to provision and protect the confidentiality, integrity and authenticity of product supplier keys and data that can be used as a “roots of trust” basis for integrity verification.",AST-18,esx-9.hardware-tpm
AST-30,"Mechanisms exist to ensure Technology Assets, Applications and/or Services (TAAS) are properly decommissioned so that data is properly transitioned to new systems or archived in accordance with applicable organizational standards, as well as statutory, regulatory and contractual obligations.",AST-30,installer-9.security
BCD-02.2,Mechanisms exist to continue essential missions and business functions with little or no loss of operational continuity and sustain that continuity until full system restoration at primary processing and/or storage sites.,BCD-02.2,"vcenter-9.drs, vcenter-9.service-resilience-evc, vcenter-9.service-resilience-ha, vcenter-9.service-resilience-vmotion, vsan-9.auto-raid"
BCD-11,"Mechanisms exist to create recurring backups of data, software and/or system images, as well as verify the integrity of these backups, to ensure the availability of the data to satisfy Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs).",BCD-11,nsx-9.backup
BCD-11.4,Cryptographic mechanisms exist to prevent the unauthorized disclosure and/or modification of backup information.,BCD-11.4,vcenter-9.native-key-provider-backup
BCD-11.7,"Mechanisms exist to maintain a failover capability, which is not collocated with the primary Technology Asset, Application and/or Service (TAAS), which can be activated with little-to-no loss of information or disruption to operations.",BCD-11.7,"nsx-9.service-resilience, operations-9.service-resilience"
BCD-12.2,"Mechanisms exist to implement real-time or near-real-time failover capability to maintain availability of critical Technology Assets, Applications, Services and/or Data (TAASD).",BCD-12.2,"nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.service-resilience-ha"
CAP-01,Mechanisms exist to facilitate the implementation of capacity management controls to ensure optimal system performance to meet expected and anticipated future capacity requirements.,CAP-01,"vcenter-9.drs, vsan-9.automatic-rebalance, vsan-9.operations-reserve"
CAP-02,"Mechanisms exist to control resource utilization of Technology Assets, Applications and/or Services (TAAS) that are susceptible to Denial of Service (DoS) attacks to limit and prioritize the use of resources.",CAP-02,"automation-9.operation-limits, nsx-9.api-rate-limits, vcenter-9.network-nioc, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.limit-setinfo-size"
CFG-02,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.",CFG-02,vcf-9.secure-baseline
CFG-02.7,"Mechanisms exist to document, assess risk and approve or deny deviations to standardized configurations.",CFG-02.7,vcf-9.secure-baseline
